,Instrument,Date,Revenue,Gross Profit,EBIT,EBITDA,Total Assets,Total Liabilities,Enterprise Value (Daily Time Series),Free Cash Flow,P/E (Daily Time Series Ratio),Dividend yield,"Net Profit Margin, (%)",Current Ratio,Quick Ratio,Debt - Total,"Weighted Average Cost of Capital, (%)",Common Shares - Outstanding - Total
0,POOL.OQ,2022-12-31 00:00:00+00:00,5108471324.55,1598255029.8,848463640.2,880723656.45,2947368496.05,1926295375.95,11936755660.791,490113345.15,18.2566995167125,1.03731749695288,12.0444,2.98794,0.6333,1146400699.95,7.43595188530005,39069419.0
1,POOL.OQ,2022-12-31 00:00:00+00:00,5108471324.55,1598255029.8,848463640.2,880723656.45,2947368496.05,1926295375.95,10969347360.3614,490113345.15,15.38658065,1.31479472767314,12.0444,2.98794,0.6333,1146400699.95,7.34938368636287,39069419.0
2,POOL.OQ,2021-12-31 00:00:00+00:00,3914230913.6,1195273551.8,613704418.6,635898136.5,2387551328.65,1595631192.7,12636284152.6631,386664148.0,16.393180816,1.11825552138664,12.28616,2.37647,0.57761,874673152.5,8.17426724241376,40192901.0
3,POOL.OQ,2021-12-31 00:00:00+00:00,3914230913.6,1195273551.8,613704418.6,635898136.5,2387551328.65,1595631192.7,12753800218.257,386664148.0,19.44159992,0.789694486945363,12.28616,2.37647,0.57761,874673152.5,8.08916124083582,40192901.0
4,POOL.OQ,2021-12-31 00:00:00+00:00,3914230913.6,1195273551.8,613704418.6,635898136.5,2387551328.65,1595631192.7,13801971113.4012,386664148.0,26.357158351,0.671916010498688,12.28616,2.37647,0.57761,874673152.5,7.07753015327121,40192901.0
5,POOL.OQ,2021-12-31 00:00:00+00:00,3914230913.6,1195273551.8,613704418.6,635898136.5,2387551328.65,1595631192.7,16977636568.3919,386664148.0,38.31184215,0.621166239614877,12.28616,2.37647,0.57761,874673152.5,1.51905672130255,40192901.0
6,POOL.OQ,2020-12-31 00:00:00+00:00,2879127963.51,827107795.74,344454060.27,365954875.53,1272342447.9,804653274.0,13201339068.6441,206399927.7,33.03108759,0.669708258339961,9.31606,2.32163,0.70551,304263084.66,6.58103582471884,40232210.0
7,POOL.OQ,2020-12-31 00:00:00+00:00,2879127963.51,827107795.74,344454060.27,365954875.53,1272342447.9,804653274.0,13605767609.152,206399927.7,43.076454932,0.549086433778283,9.31606,2.32163,0.70551,304263084.66,6.11646730487486,40232210.0
8,POOL.OQ,2020-12-31 00:00:00+00:00,2879127963.51,827107795.74,344454060.27,365954875.53,1272342447.9,804653274.0,10338443506.5534,206399927.7,38.415189823,0.65503416341973,9.31606,2.32163,0.70551,304263084.66,5.6189390799416,40232210.0
9,POOL.OQ,2020-12-31 00:00:00+00:00,2879127963.51,827107795.74,344454060.27,365954875.53,1272342447.9,804653274.0,11134564692.1591,206399927.7,46.678730038,0.663179258496984,9.31606,2.32163,0.70551,304263084.66,5.08859024235021,40232210.0
