Instrument,Date,Revenue,Gross Profit,EBIT,EBITDA,Total Assets,Total Liabilities,Enterprise Value (Daily Time Series),Free Cash Flow,P/E (Daily Time Series Ratio),Dividend yield,"Net Profit Margin, (%)",Current Ratio,Quick Ratio,Debt - Total,"Weighted Average Cost of Capital, (%)",Common Shares - Outstanding - Total
LSEG.L,2022-12-31T00:00:00Z,7743000000.0,6679000000.0,1670000000.0,3540000000.0,835156000000.0,807005000000.0,53633967137.98,1316000000.0,59.3847158534335,1.28205128205128,10.20276,1.00166,1.00166,8823000000.0,6.45315386721125,554446680.0
LSEG.L,2022-12-31T00:00:00Z,7743000000.0,6679000000.0,1670000000.0,3540000000.0,835156000000.0,807005000000.0,51061874762.64,1316000000.0,55.8497423302432,1.37321091007291,10.20276,1.00166,1.00166,8823000000.0,6.44232396292305,554446680.0
LSEG.L,2021-12-31T00:00:00Z,6535000000.0,5676000000.0,1406000000.0,2941000000.0,787109000000.0,761590000000.0,47306315084.8,1039000000.0,46.249068343,1.3441712926249,7.05432,1.00284,1.00284,8369000000.0,7.27993572602274,557360850.0
LSEG.L,2021-12-31T00:00:00Z,6535000000.0,5676000000.0,1406000000.0,2941000000.0,787109000000.0,761590000000.0,50107492567.08,1039000000.0,49.43776532,1.18779694923731,7.05432,1.00284,1.00284,8369000000.0,6.79922594115751,557360850.0
LSEG.L,2021-12-31T00:00:00Z,6535000000.0,5676000000.0,1406000000.0,2941000000.0,787109000000.0,761590000000.0,50188183911.68,1039000000.0,90.66178829,1.20010106114199,7.05432,1.00284,1.00284,8369000000.0,5.81363127773609,557360850.0
LSEG.L,2021-12-31T00:00:00Z,6535000000.0,5676000000.0,1406000000.0,2941000000.0,849141000000.0,845016000000.0,52045014236.64,1039000000.0,94.629429444,1.06232686980609,7.05432,1.00284,1.00284,2140000000.0,4.92830682404524,351587092.0
LSEG.L,2020-12-31T00:00:00Z,2030000000.0,1822000000.0,773000000.0,1146000000.0,849141000000.0,845016000000.0,46238106905.0,274000000.0,105.7514764,1.08028169014084,14.4335,1.0013,1.0013,2140000000.0,4.01228088409833,351587092.0
LSEG.L,2020-12-31T00:00:00Z,2030000000.0,1822000000.0,773000000.0,1146000000.0,849141000000.0,845016000000.0,49131735717.0,274000000.0,113.686652119,1.00133511348465,14.4335,1.0013,1.0013,2140000000.0,3.89277717008448,351587092.0
LSEG.L,2020-12-31T00:00:00Z,2030000000.0,1822000000.0,773000000.0,1146000000.0,849141000000.0,845016000000.0,45085859606.2,274000000.0,96.292090034,1.01351351351351,14.4335,1.0013,1.0013,2140000000.0,3.8615318225309,351587092.0
LSEG.L,2019-12-31T00:00:00Z,2314000000.0,2104000000.0,893000000.0,1262000000.0,849141000000.0,845016000000.0,39250426364.0,418000000.0,83.84781742,0.842735436334331,18.02074,1.00122,1.00122,2140000000.0,3.56444928901151,351587092.0
LSEG.L,2019-12-31T00:00:00Z,2314000000.0,2104000000.0,893000000.0,1262000000.0,803651000000.0,799850000000.0,32490965247.36,418000000.0,96.638880843,0.884271563179512,18.02074,1.00122,1.00122,2268000000.0,3.29956492227533,350000000.0
LSEG.L,2019-12-31T00:00:00Z,2314000000.0,2104000000.0,893000000.0,1262000000.0,803651000000.0,799850000000.0,32014446548.72,418000000.0,95.222769356,0.862800565770863,18.02074,1.00122,1.00122,2268000000.0,3.54511948115653,350000000.0
LSEG.L,2019-12-31T00:00:00Z,2314000000.0,2104000000.0,893000000.0,1262000000.0,803651000000.0,799850000000.0,30413950456.76,418000000.0,70.787316214,0.938841201716738,18.02074,1.00122,1.00122,2268000000.0,5.8104758252787,350000000.0
LSEG.L,2019-12-31T00:00:00Z,2314000000.0,2104000000.0,893000000.0,1262000000.0,803651000000.0,799850000000.0,26625350481.6,418000000.0,61.657293855,0.80781010719755,18.02074,1.00122,1.00122,2268000000.0,4.95294640761426,350000000.0
LSEG.L,2018-12-31T00:00:00Z,2135000000.0,1908000000.0,787000000.0,1081000000.0,842846000000.0,839148000000.0,28451059560.0,464000000.0,57.077205205,0.910267471958585,22.48244,1.00117,1.00117,2203000000.0,6.18861166390652,349000000.0
LSEG.L,2018-12-31T00:00:00Z,2135000000.0,1908000000.0,787000000.0,1081000000.0,842846000000.0,839148000000.0,26904925243.04,464000000.0,53.821963309,0.911560519166918,22.48244,1.00117,1.00117,2203000000.0,6.02506970778691,349000000.0
LSEG.L,2018-12-31T00:00:00Z,2135000000.0,1908000000.0,787000000.0,1081000000.0,842846000000.0,839148000000.0,20172378216.62,464000000.0,40.345058355,1.20462704427603,22.48244,1.00117,1.00117,2203000000.0,6.19106019747214,349000000.0
LSEG.L,2018-12-31T00:00:00Z,2135000000.0,1908000000.0,787000000.0,1081000000.0,842846000000.0,839148000000.0,17603043001.67,464000000.0,34.939732455,1.18803232146757,22.48244,1.00117,1.00117,2203000000.0,6.35605616229469,349000000.0
LSEG.L,2017-12-31T00:00:00Z,1955000000.0,1740000000.0,669000000.0,924000000.0,741980000000.0,738228000000.0,15170641718.54,350000000.0,31.198396301,1.26071842410197,19.84655,1.00115,1.00115,1953000000.0,6.78505162336358,346000000.0
LSEG.L,2017-12-31T00:00:00Z,1955000000.0,1740000000.0,669000000.0,924000000.0,741980000000.0,738228000000.0,16994531979.38,350000000.0,35.223004785,1.1735274050489,19.84655,1.00115,1.00115,1953000000.0,6.12924891297473,346000000.0
LSEG.L,2017-12-31T00:00:00Z,1955000000.0,1740000000.0,669000000.0,924000000.0,741980000000.0,738228000000.0,16636487771.34,350000000.0,40.665417569,,19.84655,1.00115,1.00115,1953000000.0,7.03516768214117,346000000.0
MCO,2022-12-31T00:00:00Z,4520122200.0,3186735750.0,1650820050.0,1924441200.0,11861600850.0,9638739000.0,54501179733.0001,789450750.0,44.9572432981747,0.98364844149208,26.00585,1.72379,1.72379,6108116850.0,8.37256921399145,183199910.0
MCO,2022-12-31T00:00:00Z,4520122200.0,3186735750.0,1650820050.0,1924441200.0,11861600850.0,9638739000.0,50153622076.1,789450750.0,39.799248025449,0.867544539116964,26.00585,1.72379,1.72379,6108116850.0,8.76710559895062,183199910.0
MCO,2021-12-31T00:00:00Z,4596034700.0,3386046150.0,2102142600.0,2292104150.0,10850722000.0,8695360600.0,47077042953.6,1381471350.0,33.294894392,1.05712236191339,35.6063,1.60697,1.60697,5479318950.0,8.89380127675329,185639788.0
MCO,2021-12-31T00:00:00Z,4596034700.0,3386046150.0,2102142600.0,2292104150.0,10850722000.0,8695360600.0,45409410397.12,1381471350.0,26.278412162,0.902497985495568,35.6063,1.60697,1.60697,5479318950.0,9.78453748989217,185639788.0
MCO,2021-12-31T00:00:00Z,4596034700.0,3386046150.0,2102142600.0,2292104150.0,10850722000.0,8695360600.0,46018743293.2,1381471350.0,25.770402082,0.884732052578362,35.6063,1.60697,1.60697,5479318950.0,9.38802514141357,185639788.0
