,Country,Year,GDP,stock traded percentage of gpd,"Inflation, consumer prices annual percentage",Unemployment total (pcg of total labor force) (national estimate), General government gross debt (% of GDP),Balance of Trade,"Official exchange rate (LCU per US$, period average)",General government final consumption expenditure (% of GDP)
0,Germany,2016,42136.1207908003,32.3965210294265,0.491747008445241,4.12,,256401984889.052,0.903421436257288,19.9012039275985
1,United Kingdom,2016,41146.0773555246,,1.00841736811403,4.81,156.004943332228,-52703808869.299,0.740634463697084,19.1334564665177
2,Hong Kong,2016,43734.1980702999,421.08578834166,2.40930743862222,3.39,,7327348873.28339,7.76225,9.95636389333004
3,United States of America,2016,57866.7449341091,225.039211350828,1.26158320570537,4.87,98.5041017174837,-479461000000.0,1.0,14.2449436246033
4,Germany,2017,44652.5891722723,42.2287390899147,1.50949485109622,3.75,,260592215116.192,0.88520550826938,19.8404424637912
5,United Kingdom,2017,40622.6893883232,,2.55775577557754,4.33,161.088590547374,-38943461352.9658,0.776976682344123,18.6095209227015
6,Hong Kong,2017,46160.429791493,572.30720303076,1.49387243939527,3.12,,3429559927.81987,7.79325,9.83027217138145
7,United States of America,2017,59907.754260885,204.267566460686,2.13011000365963,4.36,97.6929363628875,-510339000000.0,1.0,13.998628576041
8,Germany,2018,47939.2782884496,40.6635515525073,1.73216879766946,3.38,,244736067409.625,0.846772667108096,19.8828388477024
9,United Kingdom,2018,43306.3083049317,,2.29283990345939,4.0,157.803662725212,-43882686819.4316,0.749531540259847,18.4646404716767
10,Hong Kong,2018,48537.5668888343,626.644860018611,2.40613432046539,2.81,,-765449570.414032,7.8385,9.92512949539558
11,United States of America,2018,62823.309438197,160.849137895788,2.44258329692818,3.9,99.0609761173397,-578600000000.0,1.0,13.9625188613509
12,Germany,2019,46793.6867615995,34.7286805737357,1.44565976888251,3.14,,230801506186.55,0.893276257067393,20.2448420216166
13,United Kingdom,2019,42747.080460496,,1.73810460086511,3.74,160.020247075075,-46207199363.9502,0.783445110011929,19.0130846499293
14,Hong Kong,2019,48359.0032522111,501.891547401128,2.8832085377399,2.92,,5667629956.78238,7.83591666666667,10.8764361048878
15,United States of America,2019,65120.3946628653,108.470953622134,1.81221007526015,3.67,100.805042202199,-559675000000.0,1.0,14.0722246882184
16,Germany,2020,46772.8253507537,46.6386455719206,0.144877925813972,3.86,,227764436287.248,0.875506396987983,21.9648619998062
17,United Kingdom,2020,40318.4169225055,,0.98948670377243,,195.392288753191,8295267014.14478,0.779999576697153,22.5215847219892
18,Hong Kong,2020,46109.2299946609,889.815804038354,0.250962021080809,5.81,,6664182475.84547,7.75725,12.7458289934984
19,United States of America,2020,63528.6343027508,,1.23358439630637,8.05,126.232493573125,-653990000000.0,1.0,14.9017351540602
20,Germany,2021,51203.5544731043,,3.06666666666666,3.57,,236608579695.598,0.845494138890436,22.1419032414798
21,United Kingdom,2021,46585.8975644567,,2.51837109614205,,186.481993581312,-38563646662.7926,0.727064944688322,22.3849750203282
22,Hong Kong,2021,49764.793115622,,1.56875834445927,5.17,,20534613690.6011,7.77325,12.6775774491896
23,United States of America,2021,70219.472454115,,4.69785886363739,5.35,120.374016841913,-845050000000.0,1.0,14.3843852109769
24,Germany,2022,48432.4558732596,,6.87257438551099,,,87555329293.6827,0.949623753156941,21.9393077410429
25,United Kingdom,2022,45850.4261222629,,7.92204883147916,,,-111286362370.826,0.811301715827773,21.0533879139609
26,Hong Kong,2022,48983.623801213,,1.88136707196846,,,14865603971.4926,7.83141666666667,14.3297518919138
27,United States of America,2022,76398.5917422054,,8.00279982052117,3.65,,-945323000000.0,1.0,
