Instrument,Forward Enterprise Value To EBITDA (Daily Time Series Ratio),Enterprise Value To EBITDA (Daily Time Series Ratio),EV / Free Cash Flow (SmartEstimate ®),P/E (Daily Time Series Ratio),Forward P/E (Daily Time Series Ratio)
LSEG.L,13.3123752038501,15.0657211061742,20.8365947805312,59.3847158534335,23.7473934947051
LSEG.L,12.8537844812074,14.3432232479326,19.8033974760702,55.8497423302432,22.0403906214631
LSEG.L,11.922474899,14.266078132,22.3845368600093,46.249068343,20.017722209
LSEG.L,12.985008655,15.110824055,25.1795921223963,49.43776532,22.032249344
LSEG.L,13.653722424,17.270538166,36.9305369753689,90.66178829,23.08982083
LSEG.L,14.237960506,17.90950249,15.1911892109282,94.629429444,24.408837797
LSEG.L,13.262391502,23.130618762,24.056176857078,105.7514764,22.535469219
LSEG.L,14.434556535,24.578156937,28.0174175827748,113.686652119,24.940224701
LSEG.L,13.398800022,39.341936829,56.9758752633639,96.292090034,27.540250451
LSEG.L,11.895451355,34.249935745,69.0684822910511,83.84781742,24.458777803
LSEG.L,15.904617252,27.349297346,43.6449849739711,96.638880843,35.992936147
LSEG.L,18.758242018,26.948187331,39.1302519535794,95.222769356,37.32644701
LSEG.L,22.226196775,24.099802264,37.2234251882592,70.787316214,38.040998869
LSEG.L,19.161493343,21.097742061,42.7118514540984,61.657293855,32.468857562
LSEG.L,21.009182672,24.590371271,46.5072167031355,57.077205205,34.343328527
LSEG.L,20.30926981,23.254040832,40.6828096590225,53.821963309,33.471232106
LSEG.L,15.652297805,18.660849414,30.7401103856179,40.345058355,26.823343353
LSEG.L,14.396815083,16.284036079,26.0484636403742,34.939732455,24.335548036
LSEG.L,12.487573121,14.786200505,23.3914854963891,31.198396301,20.695071119
LSEG.L,14.069956224,16.563871325,40.3576284937976,35.223004785,23.636412661
LSEG.L,14.285445348,18.004856895,NaN,40.665417569,24.307944319
MCO,24.3869176996647,30.7727200000001,41.1746187934813,44.9572432981747,32.8759726545954
MCO,22.598956157125,26.5698754295533,38.2908258560908,39.799248025449,31.4987699440196
MCO,21.796400042,23.339829508,34.0975647527304,33.294894392,29.785735157
MCO,17.888127264,18.909235821,37.0353140233474,26.278412162,22.945444948
MCO,18.940664027,19.180929476,31.5287009700289,25.770402082,23.985414318
MCO,20.712057285,21.912978072,29.902367658242,28.642517343,27.070024595
MCO,23.559207755,25.609865922,33.1132959388482,34.989868006,30.882895961
MCO,21.874644793,23.015179716,30.9561127817292,31.994947265,28.997698484
MCO,23.396108299,24.264424966,31.5706241610683,33.799135924,30.749528179
MCO,21.032124025,22.429618298,28.2836175322653,31.791778278,27.428599581
MCO,21.636601744,21.697117839,29.7879650304816,30.18422109,28.111527915
MCO,22.80436,22.705393918,32.4868163388211,31.733119918,29.936041072
MCO,23.650307913,23.273231589,36.7184351085422,34.073221521,30.732726111
MCO,17.569720269,19.001418595,28.5171249247138,28.491678813,23.091535902
MCO,19.793516991,22.18397357,26.584193209456,34.615894938,26.175303197
MCO,18.009862366,20.364142376,27.8136785680015,33.385653769,23.667513141
MCO,17.76115855,19.791617429,24.3741108351746,30.28813349,23.245917971
MCO,16.655411286,18.065602971,23.3541275065464,28.156772381,22.201678942
MCO,13.427349747,14.218328647,19.4221451341726,21.516643748,17.337412239
MCO,15.169108328,16.812693843,23.0255841255356,24.298935032,19.926896743
MCO,15.67618561,17.9219739,23.3536965095455,26.013046177,20.825742732
MORN.O,19.9209959707231,21.112821529036,NaN,504.67169442228,36.0139965411851
MORN.O,21.1466726655054,21.2283677225381,NaN,124.405637254902,37.0476895157979
MORN.O,21.200392472,22.461982966,NaN,76.064548982,36.969577491
MORN.O,20.873544921,22.860530972,NaN,50.694325063,32.628288644
MORN.O,19.129473268,23.937305209,NaN,56.949013642,32.136217671
MORN.O,,25.824443389,NaN,61.391207418,
MORN.O,,32.457229585,NaN,69.796583949,
MORN.O,,25.160839887,NaN,46.801344976,
MORN.O,,22.78572718,NaN,43.647580293,
MORN.O,,19.789703678,NaN,43.488931619,
MORN.O,,19.857247271,NaN,56.951798666,
MORN.O,,12.866466633,NaN,46.705925118,
MORN.O,,13.112780226,NaN,42.720641491,
MORN.O,,12.221796017,NaN,33.026131127,
MORN.O,,18.560269827,NaN,39.654688929,
MORN.O,,18.59659261,NaN,36.541303375,
MORN.O,,18.473888697,NaN,36.208881991,
MORN.O,,16.154359089,NaN,30.003333968,
MORN.O,,14.375867538,NaN,27.936811531,
MORN.O,,17.654466722,NaN,36.990245622,
MORN.O,,18.641084444,NaN,36.63113518,
SPGI.K,22.961651249409,23.8424907050745,32.869470218403,47.1920111785113,29.7082522834466
SPGI.K,20.8517869840942,23.3763645990923,26.8184177202996,32.8462807019884,26.6221412285291
SPGI.K,20.798318754,24.028903098,37.7670547712169,28.004993307,26.668820632
SPGI.K,18.069635271,22.9992277,34.935761370857,22.753217567,23.069866545
SPGI.K,18.947667206,26.209689246,28.7166994940348,24.3266085,24.57948029
SPGI.K,21.277704478,30.574057949,37.9523683509038,32.785994215,29.272083718
SPGI.K,23.165576649,25.470955118,33.1565415523896,40.674328709,32.185816089
SPGI.K,21.937875719,24.037848596,31.2583786559334,41.703104987,30.406728675
SPGI.K,22.087519794,23.827551716,31.889082642019,40.389558249,30.757584444
SPGI.K,19.992526888,21.741978413,28.2509136154571,36.515112788,27.780825055
SPGI.K,20.23498403,20.305096584,27.2639865651026,32.911473513,27.681057763
SPGI.K,22.767198497,22.850668011,33.0959976639701,33.992988357,31.548149449
SPGI.K,22.479555675,22.612839546,35.1776340828042,34.402108314,31.154855607
SPGI.K,17.297584387,17.834624432,24.454930538586,28.487031164,24.138229459
SPGI.K,18.991502297,21.102820359,29.2380477169376,32.398766462,26.215811672
SPGI.K,17.917072589,19.823506807,28.6593047062567,31.099054131,24.650242436
SPGI.K,17.347223925,19.087698029,27.4924171446629,30.559185196,23.869750728
SPGI.K,16.221877166,17.595734269,24.084117791898,27.227959642,22.610412407
SPGI.K,13.537478076,14.645381853,21.4465099805324,23.275402772,18.294067938
