Instrument,Date,Revenue,Gross Profit,EBIT,EBITDA,Total Assets,Total Liabilities,Enterprise Value (Daily Time Series),Free Cash Flow,P/E (Daily Time Series Ratio),Dividend yield,"Net Profit Margin, (%)",Current Ratio,Quick Ratio,Debt - Total,"Weighted Average Cost of Capital, (%)",Common Shares - Outstanding - Total,Enterprise Value To EBITDA (Daily Time Series Ratio),P/E (Daily Time Series Ratio),Forward P/E (Daily Time Series Ratio),Forward Enterprise Value To EBITDA (Daily Time Series Ratio)
POOL.OQ,2022-12-31T00:00:00Z,5108471324.55,1598255029.8,848463640.2,880723656.45,2947368496.05,1926295375.95,12567433405.4152,490113345.15,22.168112923411,1.13856313332574,12.0444,2.98794,0.6333,1146400699.95,7.25464990598994,39069419.0,16.3688741108828,22.168112923411,23.4488441738728,16.9119279669747
POOL.OQ,2022-12-31T00:00:00Z,5108471324.55,1598255029.8,848463640.2,880723656.45,2947368496.05,1926295375.95,11936755660.791,490113345.15,18.2566995167125,1.03731749695288,12.0444,2.98794,0.6333,1146400699.95,7.43595188530005,39069419.0,13.8177873143279,18.2566995167125,20.4393469158372,15.0610066195626
POOL.OQ,2022-12-31T00:00:00Z,5108471324.55,1598255029.8,848463640.2,880723656.45,2947368496.05,1926295375.95,10969347360.3614,490113345.15,15.38658065,1.31479472767314,12.0444,2.98794,0.6333,1146400699.95,7.34938368636287,39069419.0,12.253686216,15.38658065,17.882348748,13.454483152
POOL.OQ,2021-12-31T00:00:00Z,3914230913.6,1195273551.8,613704418.6,635898136.5,2387551328.65,1595631192.7,12636284152.6631,386664148.0,16.393180816,1.11825552138664,12.28616,2.37647,0.57761,874673152.5,8.17426724241376,40192901.0,13.399489347,16.393180816,17.202162447,12.88160194
POOL.OQ,2021-12-31T00:00:00Z,3914230913.6,1195273551.8,613704418.6,635898136.5,2387551328.65,1595631192.7,12753800218.257,386664148.0,19.44159992,0.789694486945363,12.28616,2.37647,0.57761,874673152.5,8.08916124083582,40192901.0,16.015278902,19.44159992,18.501055267,14.108126541
POOL.OQ,2021-12-31T00:00:00Z,3914230913.6,1195273551.8,613704418.6,635898136.5,2387551328.65,1595631192.7,13801971113.4012,386664148.0,26.357158351,0.671916010498688,12.28616,2.37647,0.57761,874673152.5,7.07753015327121,40192901.0,21.069316914,26.357158351,23.588189383,17.553888204
POOL.OQ,2021-12-31T00:00:00Z,3914230913.6,1195273551.8,613704418.6,635898136.5,2387551328.65,1595631192.7,16977636568.3919,386664148.0,38.31184215,0.621166239614877,12.28616,2.37647,0.57761,874673152.5,1.51905672130255,40192901.0,28.449048136,38.31184215,33.959993208,24.439238119
POOL.OQ,2020-12-31T00:00:00Z,2879127963.51,827107795.74,344454060.27,365954875.53,1272342447.9,804653274.0,13201339068.6441,206399927.7,33.03108759,0.669708258339961,9.31606,2.32163,0.70551,304263084.66,6.58103582471884,40232210.0,24.716389143,33.03108759,29.648785846,21.332966769
POOL.OQ,2020-12-31T00:00:00Z,2879127963.51,827107795.74,344454060.27,365954875.53,1272342447.9,804653274.0,13605767609.152,206399927.7,43.076454932,0.549086433778283,9.31606,2.32163,0.70551,304263084.66,6.11646730487486,40232210.0,32.057904654,43.076454932,36.346194867,25.25318771
POOL.OQ,2020-12-31T00:00:00Z,2879127963.51,827107795.74,344454060.27,365954875.53,1272342447.9,804653274.0,10338443506.5534,206399927.7,38.415189823,0.65503416341973,9.31606,2.32163,0.70551,304263084.66,5.6189390799416,40232210.0,28.469696353,38.415189823,35.536258074,24.659761556
POOL.OQ,2020-12-31T00:00:00Z,2879127963.51,827107795.74,344454060.27,365954875.53,1272342447.9,804653274.0,11134564692.1591,206399927.7,46.678730038,0.663179258496984,9.31606,2.32163,0.70551,304263084.66,5.08859024235021,40232210.0,33.685635821,46.678730038,40.552780669,28.26798563
POOL.OQ,2019-12-31T00:00:00Z,2413075721.4,697578435.0,257367733.2,279446184.0,1118679217.2,809321461.2,10685614229.7153,130818252.6,47.724341782,0.732554467950742,8.17545,2.49092,0.69412,385703159.4,5.81292619758881,40074160.0,33.796144474,47.724341782,41.585502334,29.440985062
POOL.OQ,2019-12-31T00:00:00Z,2413075721.4,697578435.0,257367733.2,279446184.0,1118679217.2,809321461.2,9214904672.07642,130818252.6,42.769046832,1.09609751488236,8.17545,2.49092,0.69412,385703159.4,10.4787948242607,40074160.0,30.469659475,42.769046832,40.034544079,28.61807064
POOL.OQ,2019-12-31T00:00:00Z,2413075721.4,697578435.0,257367733.2,279446184.0,1118679217.2,809321461.2,6767553529.20453,130818252.6,30.726636466,1.0031919744642,8.17545,2.49092,0.69412,385703159.4,6.354024482805,40074160.0,22.681509745,30.726636466,30.296818876,20.89304167
POOL.OQ,2019-12-31T00:00:00Z,2413075721.4,697578435.0,257367733.2,279446184.0,1118679217.2,809321461.2,6798420170.52106,130818252.6,33.330979229,1.06075216972035,8.17545,2.49092,0.69412,385703159.4,6.53826964784745,40074160.0,24.354285931,33.330979229,31.655371114,21.801572872
POOL.OQ,2018-12-31T00:00:00Z,2350148276.36,682111211.24,246051309.32,267933319.52,972693959.48,797426230.28,7067575470.50863,126301881.12,33.158580872,1.16174684480118,7.82033,2.99481,0.79403,522660612.68,6.88226828645293,39506067.0,24.285568101,33.158580872,30.423710007,21.388491913
POOL.OQ,2018-12-31T00:00:00Z,2350148276.36,682111211.24,246051309.32,267933319.52,972693959.48,797426230.28,6509534981.83808,126301881.12,33.712168681,0.979645150756504,7.82033,2.99481,0.79403,522660612.68,7.20714128944059,39506067.0,23.817854109,33.712168681,28.951068948,20.360373498
