Instrument,Company Common Name,Country of Headquarters,TRBC Industry Group Name,GICS Sector Name,Currency
POOL.OQ,Pool Corp,United States of America,Leisure Products,Consumer Discretionary,USD
CHRW.OQ,CH Robinson Worldwide Inc,United States of America,Freight & Logistics Services,Industrials,USD
AJG.N,Arthur J. Gallagher & Co.,United States of America,Insurance,Financials,USD
CNP.N,CenterPoint Energy Inc,United States of America,Multiline Utilities,Utilities,USD
AMCR.N,Amcor PLC,United Kingdom,Containers & Packaging,Materials,USD
WM.N,Waste Management Inc,United States of America,Professional & Commercial Services,Industrials,USD
BA.N,Boeing Co,United States of America,Aerospace & Defense,Industrials,USD
FOX.OQ,Fox Corp,United States of America,Media & Publishing,Communication Services,USD
LIN.N,Linde PLC,United Kingdom,Chemicals,Materials,USD
WY.N,Weyerhaeuser Co,United States of America,Residential & Commercial REITs,Real Estate,USD
MCD.N,McDonald's Corp,United States of America,Hotels & Entertainment Services,Consumer Discretionary,USD
HD.N,Home Depot Inc,United States of America,Specialty Retailers,Consumer Discretionary,USD
SPG.N,Simon Property Group Inc,United States of America,Residential & Commercial REITs,Real Estate,USD
HBAN.OQ,Huntington Bancshares Inc,United States of America,Banking Services,Financials,USD
QRVO.OQ,Qorvo Inc,United States of America,Semiconductors & Semiconductor Equipment,Information Technology,USD
LVS.N,Las Vegas Sands Corp,United States of America,Hotels & Entertainment Services,Consumer Discretionary,USD
CTRA.N,Coterra Energy Inc,United States of America,Oil & Gas,Energy,USD
AIG.N,American International Group Inc,United States of America,Insurance,Financials,USD
AIZ.N,Assurant Inc,United States of America,Insurance,Financials,USD
CARR.N,Carrier Global Corp,United States of America,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,USD
COST.OQ,Costco Wholesale Corp,United States of America,Diversified Retail,Consumer Staples,USD
MCO.N,Moody's Corp,United States of America,Professional & Commercial Services,Financials,USD
DIS.N,Walt Disney Co,United States of America,Media & Publishing,Communication Services,USD
