,Country,Year,GDP,stock traded percentage of gpd,"Inflation, consumer prices annual percentage",Unemployment total (pcg of total labor force) (national estimate), General government gross debt (% of GDP),Balance of Trade,"Official exchange rate (LCU per US$, period average)",General government final consumption expenditure (% of GDP)
0,Bermuda,2016.0,106885.878489327,3.14453331354564,2.293606964869009,5.838421507827488,-13.427599308092738,-610483019.836141,1.0,12.1305912496553
1,Switzerland,2016.0,82153.0745447889,121.710067022521,-0.434618664285843,4.92,19.3809926558719,62479254234.7253,0.985394394244834,11.5149617444437
2,United Kingdom,2016.0,41146.0773555246,57.10785913593213,1.00841736811403,4.81,156.004943332228,-52703808869.299,0.740634463697084,19.1334564665177
3,Republic of Ireland,2016.0,62895.9111239299,7.47113791544645,0.00830633773569926,8.37,85.3325117162009,46909297463.0224,0.903421436257288,12.7656461232875
4,Israel,2016.0,37690.4739511859,16.0892299008339,-0.551552352993539,4.72,171.62598256841795,6004200000.0,3.84056666666667,21.9302182007358
5,Netherlands,2016.0,46039.105928411,1.6319328291269812,0.316666666666663,6.01,148.59292551857524,79957067138.7125,0.903421436257288,24.683448697442
6,United States of America,2016.0,57866.7449341091,225.039211350828,1.26158320570537,4.87,98.5041017174837,-479461000000.0,1.0,14.2449436246033
7,Bermuda,2017.0,111820.581466347,0.548001516594897,2.3469582921803283,5.946484948478464,-26.628641218782832,-649147240.362098,1.0,11.6269288561301
8,Switzerland,2017.0,82254.3769269767,136.41196379986,0.533787839825886,4.8,20.2844118326667,57803788876.0292,0.984691666666667,11.5093914980384
9,United Kingdom,2017.0,40622.6893883232,42.13974983461435,2.55775577557754,4.33,161.088590547374,-38943461352.9658,0.776976682344123,18.6095209227015
10,Republic of Ireland,2017.0,69970.9489145768,8.59874131994692,0.340531561461793,6.71,76.6478153567498,75812167837.1137,0.88520550826938,12.3234734944561
11,Israel,2017.0,41114.7817082553,19.2710755109475,0.259414974505786,4.14,162.45670169356987,6855000000.0,3.59955554812834,22.0710136651661
12,Netherlands,2017.0,48675.2223350217,2.3000183105662018,1.3814587140721,4.84,141.45058090568085,89577911347.8336,0.88520550826938,24.3164631387287
13,United States of America,2017.0,59907.754260885,204.267566460686,2.13011000365963,4.36,97.6929363628875,-510339000000.0,1.0,13.998628576041
14,Bermuda,2018.0,113050.73688163,0.680184838673026,2.360103946503097,5.972900633153556,-29.92000860424099,-611553069.983311,1.0,11.7283240729939
15,Switzerland,2018.0,85216.6429514169,129.32671257816,0.936335464113605,4.71,18.678118566674,70986209886.5495,0.977891666666667,11.2649207517523
16,United Kingdom,2018.0,43306.3083049317,30.53642354356157,2.29283990345939,4.0,157.803662725212,-43882686819.4316,0.749531540259847,18.4646404716767
17,Republic of Ireland,2018.0,79250.387851767,8.31742474316492,0.488370168032449,5.74,75.1841653082593,110478912608.434,0.846772667108096,12.0140270216253
18,Israel,2018.0,42406.8454263606,16.5759679380087,0.794075660242686,3.92,159.03454160971057,3203800000.0,3.59055812689938,22.3523618120374
19,Netherlands,2018.0,53044.5324352244,3.126519358793985,1.70349794744475,3.83,129.6980234797374,96359824239.1575,0.846772667108096,24.3687555475738
20,United States of America,2018.0,62823.309438197,160.849137895788,2.44258329692818,3.9,99.0609761173397,-578600000000.0,1.0,13.9625188613509
21,Bermuda,2019.0,116153.166121638,0.306460662237917,2.3935302673025323,6.039990779704679,-38.21974868426537,-618767800.17432,1.0,12.2567291689258
22,Switzerland,2019.0,84121.9310304414,133.870934167074,0.362886179940635,4.39,18.9542598066682,65101059420.3422,0.993709166666667,11.3549037641088
23,United Kingdom,2019.0,42747.080460496,30.154116502740862,1.73810460086511,3.74,160.020247075075,-46207199363.9502,0.783445110011929,19.0130846499293
24,Republic of Ireland,2019.0,80927.0746710651,-33.99639987795831,0.939044481054341,4.95,69.5359699529522,49334426192.4225,0.893276257067393,12.0162032115118
25,Israel,2019.0,44452.2325623093,17.0121108710068,0.849783128264134,3.73,153.50833407950387,8995600000.0,3.56452734661093,22.0629198918151
26,Netherlands,2019.0,52476.2732533318,5.645618764735445,2.63369910249593,3.38,131.28477899412647,89252003046.4276,0.893276257067393,24.6150629416214
27,United States of America,2019.0,65120.3946628653,108.470953622134,1.81221007526015,3.67,100.805042202199,-559675000000.0,1.0,14.0722246882184
28,Bermuda,2020.0,107791.886435134,20.95824507758175,2.298186871014607,5.81288073634515,-15.858359029543465,-696022076.187566,1.0,12.7251821400066
29,Switzerland,2020.0,85656.322666307,176.737219725458,-0.725874933313391,4.82,20.9108889117768,43945423002.8314,0.938965,12.1396758493691
30,United Kingdom,2020.0,40318.4169225055,-89.95917314067287,0.98948670377243,4.382715959777993,195.392288753191,8295267014.14478,0.779999576697153,22.5215847219892
31,Republic of Ireland,2020.0,85420.1908556082,-93.69650037359702,-0.334584625428444,5.62,71.7395088441432,82115322276.8633,0.875506396987983,12.8962959053593
32,Israel,2020.0,44846.7915954816,25.3208314588424,-0.614412358465719,4.17,152.36346006411452,18444300000.0,3.44240585198792,23.297301906825
33,Netherlands,2020.0,52162.5701150397,5.7547021833484,1.2724603778917,3.82,132.10088251446265,91726440236.5824,0.875506396987983,26.0553902552321
34,United States of America,2020.0,63528.6343027508,70.95394866288302,1.23358439630637,8.05,126.232493573125,-653990000000.0,1.0,14.9017351540602
35,Bermuda,2021.0,111774.669092278,21.722904036125783,2.341239341009254,5.898716987329125,-26.51252837501761,-789315041.099342,1.0,12.6066337411606
36,Switzerland,2021.0,91991.6004583563,30.057657406996213,0.581814168489875,5.1,20.3045596858887,96785834531.1216,0.913845833333333,12.1328241781478
37,United Kingdom,2021.0,46585.8975644567,-110.08900214060282,2.51837109614205,4.509948973504933,186.481993581312,-38563646662.7926,0.727064944688322,22.3849750203282
38,Republic of Ireland,2021.0,100172.079253421,-244.01757846789178,2.35814296241712,6.19,65.3989755304497,199483446056.276,0.845494138890436,12.2554428786203
39,Israel,2021.0,52166.8121647134,20.93975268860845,1.51020047690541,4.81,132.76705030157214,19305400000.0,3.23019832251082,22.099602797241
40,Netherlands,2021.0,57708.1112134322,2.4908290729160854,2.67572008805381,4.21,117.15116326593639,103897967263.853,0.845494138890436,26.2216091739044
41,United States of America,2021.0,70219.472454115,68.33527357825164,4.69785886363739,5.35,120.374016841913,-845050000000.0,1.0,14.3843852109769
42,Bermuda,2022.0,118845.621104325,32.24886249700262,2.5599870910136397,6.043757870933093,-44.87001407214666,-60568875550.282166,1.0,12.3289848354414
43,Switzerland,2022.0,92101.4697414382,8.391651927552857,2.83502798644453,5.488064123801577,25.097474572970526,108372018109.319,0.9548325,11.6493045010674
44,United Kingdom,2022.0,45850.4261222629,43.23075675070072,7.92204883147916,4.463391160216005,150.8868912642866,-111286362370.826,0.811301715827773,21.0533879139609
45,Republic of Ireland,2022.0,104038.946076296,-12.64631867258936,7.8073754099672,5.756499110358996,-7.683287668412049,198663236681.724,0.949623753156941,11.2444618655408
46,Israel,2022.0,54659.753964319,21.57001396578221,4.3935966591265,4.669221299279093,126.12016246929403,16909200000.0,3.35961440158189,20.8701186413685
47,Netherlands,2022.0,55985.4034255707,0.5934643551529462,10.0012078753473,4.707041119738893,121.85586818004657,93640049808.7664,0.949623753156941,25.4532047863015
48,United States of America,2022.0,76398.5917422054,193.0566161468157,8.00279982052117,3.65,76.96482379531926,-945323000000.0,1.0,10.296067769914739
